ProteinAccession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
TCCM_0472.00000070,26100000,24500000,15400000,33300000,66300000,66100000,43500000,17900000,23900000,22500000,99800000,108000000,52700000,54400000,51600000,29600000,29100000,52200000,43000000,42600000,45800000,38800000,61000000,76000000,87600000,48300000,38500000,74000000,75900000,24600000,36400000,38100000,54300000,68700000,26300000,28100000,3446000
TCCM_0496.00000260,35500000,67000000,87900000,114000000,117000000,124000000,69500000,31500000,29900000,34900000,114000000,72300000,51000000,47800000,74300000,58100000,68900000,80600000,116000000,105000000,132000000,146000000,187000000,102000000,118000000,146000000,129000000,108000000,160000000,30000000,119000000,125000000,99700000,79400000,26500000,77700000,51300000
TCCM_0692.00000100,20200000,12300000,41400000,51300000,43800000,52300000,31400000,11100000,18000000,12300000,58300000,55900000,49300000,36000000,30500000,22100000,20400000,24700000,7237500,31700000,30200000,31500000,17600000,37300000,32400000,21200000,15900000,56100000,50500000,15600000,70300000,28200000,29200000,26000000,2928200,4961300,849040
TCCM_0872.00002580,20800000,7823600,24300000,11900000,90700000,80200000,39300000,10000000,31800000,32500000,110000000,74200000,102000000,76700000,27200000,55700000,17900000,63900000,25600000,104000000,63700000,63700000,36700000,85100000,62500000,31200000,61800000,122000000,117000000,64900000,24300000,45600000,104000000,73700000,8892600,6805600,4086100
TCCM_0154.00000330,21700000,22800000,65200000,50300000,33800000,69800000,38600000,19400000,19000000,16300000,8192100,7780500,57400000,70400000,73600000,17800000,15200000,10200000,36800000,14300000,22900000,31900000,61100000,14400000,11300000,46500000,43500000,31100000,25700000,28200000,26000000,39500000,18300000,9978300,27400000,43600000,3360000
TCCM_0197.00000070,37500000,10800000,7347500,19200000,49000000,46700000,31000000,9579700,20000000,16600000,82500000,79400000,40800000,46000000,37300000,21400000,19500000,30300000,16500000,39000000,33300000,33800000,36500000,53600000,62500000,32400000,27500000,70100000,70700000,21300000,23800000,32400000,44100000,52200000,10200000,11700000,2209900
TCCM_0570.00000250,16900000,12300000,20000000,17700000,26600000,32700000,21000000,8808000,11800000,9516800,31200000,32700000,23600000,27900000,15400000,15300000,13400000,16700000,9478900,18900000,21400000,21400000,18800000,28800000,34800000,18000000,17100000,46500000,35900000,11100000,11500000,20200000,19600000,31200000,11200000,11900000,3506400
TCCM_0196.00000230,16700000,24300000,41400000,42700000,46900000,42600000,34000000,15700000,18600000,21900000,58700000,74300000,52600000,40800000,42200000,25300000,22400000,31000000,29400000,50000000,46200000,42100000,47500000,44500000,52800000,42800000,33300000,62200000,74400000,43800000,34100000,35600000,50400000,61600000,8945400,12600000,1372100
TCCM_0664.00000010,17500000,34000000,51600000,50000000,48100000,57500000,40300000,16600000,23600000,28000000,59700000,41100000,50000000,32700000,34600000,18900000,21900000,39200000,28700000,32700000,27800000,39300000,45600000,40000000,44200000,30200000,32300000,48800000,69200000,45800000,20000000,40000000,38900000,45200000,9190900,15800000,2811700
TCCM_0927.00000010,11900000,10400000,14800000,22800000,26100000,22800000,15800000,6940000,7522000,7865500,22100000,21000000,22700000,22200000,17600000,11200000,8790700,12100000,6415100,12800000,10700000,5941400,10100000,16800000,17900000,7911200,8929400,23700000,26200000,14000000,11500000,6922900,16400000,20200000,10200000,8986100,3012400
TCCM_0427.00000140,20700000,43300000,26400000,28600000,28400000,28000000,13600000,4959300,7163400,7404700,17900000,15400000,28100000,33600000,29500000,9091500,8729600,13200000,6597000,15800000,7543000,11600000,14400000,12000000,11700000,10200000,10300000,20000000,23100000,27700000,15900000,9578300,7692700,15400000,11900000,23000000,625470
TCCM_0584.00000030,36200000,40200000,39700000,44300000,29600000,34300000,29000000,17700000,6802500,19200000,19700000,27000000,42700000,54600000,35500000,17700000,14100000,17600000,27900000,25500000,39700000,37600000,47300000,30000000,63100000,35000000,33400000,35800000,33000000,38900000,28100000,35300000,54800000,55900000,15000000,7836800,741240
TCCM_0236.00000020,7320200,802320,1057800,3683800,24800000,38000000,34600000,7887900,14200000,10700000,65700000,88200000,9372600,16500000,7825700,22300000,21600000,38400000,27600000,44000000,27100000,21500000,28800000,54800000,51200000,23400000,17100000,69300000,68600000,7353500,30200000,29300000,52700000,39900000,274570,792860,1783500
